,States,Coure_Outcome ,Measure ,YEAR_2011,YEAR_2012,YEAR_2013,YEAR_2014,YEAR_2015,YEAR_2016,YEAR_2017,YEAR_2018,YEAR_2019,YEAR_2020
0,Alabama,Traffic Fatalities,Total (C-1),895.0,865.0,853.0,820.0,850.0,1083.0,948.0,953.0,930.0,934.0
1,Alabama,Traffic Fatalities,Rural,515.0,510.0,562.0,544.0,590.0,803.0,585.0,541.0,535.0,518.0
2,Alabama,Traffic Fatalities,Urban,378.0,351.0,285.0,274.0,260.0,280.0,363.0,412.0,395.0,415.0
3,Alabama,Traffic Fatalities,Unknown,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
26,Alaska,Traffic Fatalities,Total (C-1),72.0,59.0,51.0,73.0,65.0,84.0,79.0,80.0,67.0,64.0
27,Alaska,Traffic Fatalities,Rural,46.0,39.0,33.0,42.0,33.0,53.0,45.0,41.0,37.0,38.0
28,Alaska,Traffic Fatalities,Urban,26.0,20.0,18.0,31.0,31.0,30.0,33.0,39.0,29.0,26.0
29,Alaska,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
52,Arizona,Traffic Fatalities,Total (C-1),826.0,821.0,849.0,773.0,897.0,952.0,998.0,1011.0,979.0,1054.0
53,Arizona,Traffic Fatalities,Rural,384.0,375.0,337.0,289.0,343.0,335.0,360.0,320.0,356.0,343.0
54,Arizona,Traffic Fatalities,Urban,439.0,444.0,509.0,482.0,550.0,612.0,637.0,677.0,604.0,652.0
55,Arizona,Traffic Fatalities,Unknown,3.0,2.0,3.0,2.0,4.0,5.0,1.0,14.0,19.0,59.0
78,Arkansas,Traffic Fatalities,Total (C-1),551.0,560.0,498.0,470.0,550.0,561.0,525.0,520.0,511.0,638.0
79,Arkansas,Traffic Fatalities,Rural,426.0,435.0,367.0,357.0,387.0,366.0,339.0,307.0,342.0,445.0
80,Arkansas,Traffic Fatalities,Urban,125.0,125.0,131.0,113.0,163.0,195.0,186.0,213.0,169.0,193.0
81,Arkansas,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,California,Traffic Fatalities,Total (C-1),2816.0,2966.0,3107.0,3102.0,3387.0,3837.0,3884.0,3798.0,3719.0,3847.0
119,California,Traffic Fatalities,Rural,1190.0,1200.0,1201.0,1170.0,1404.0,1593.0,1423.0,1085.0,1141.0,1175.0
120,California,Traffic Fatalities,Urban,1626.0,1766.0,1906.0,1931.0,1982.0,2244.0,2458.0,2712.0,2571.0,2666.0
121,California,Traffic Fatalities,Unknown,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,7.0,6.0
130,Colorado,Traffic Fatalities,Total (C-1),447.0,474.0,482.0,488.0,547.0,608.0,648.0,632.0,597.0,622.0
131,Colorado,Traffic Fatalities,Rural,227.0,233.0,244.0,228.0,260.0,266.0,277.0,259.0,242.0,236.0
132,Colorado,Traffic Fatalities,Urban,220.0,241.0,238.0,260.0,285.0,342.0,369.0,373.0,352.0,385.0
133,Colorado,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0
156,Connecticut,Traffic Fatalities,Total (C-1),221.0,264.0,286.0,248.0,270.0,304.0,281.0,293.0,249.0,295.0
157,Connecticut,Traffic Fatalities,Rural,38.0,77.0,130.0,60.0,46.0,37.0,44.0,38.0,47.0,46.0
158,Connecticut,Traffic Fatalities,Urban,183.0,186.0,156.0,188.0,221.0,261.0,235.0,252.0,199.0,248.0
159,Connecticut,Traffic Fatalities,Unknown,0.0,1.0,0.0,0.0,3.0,6.0,2.0,3.0,3.0,1.0
182,Delaware,Traffic Fatalities,Total (C-1),99.0,114.0,99.0,124.0,131.0,119.0,119.0,111.0,132.0,116.0
183,Delaware,Traffic Fatalities,Rural,58.0,57.0,51.0,64.0,62.0,69.0,61.0,34.0,48.0,47.0
184,Delaware,Traffic Fatalities,Urban,41.0,57.0,48.0,60.0,69.0,50.0,56.0,77.0,84.0,69.0
185,Delaware,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
208,Florida,Traffic Fatalities,Total (C-1),2400.0,2431.0,2403.0,2494.0,2938.0,3176.0,3116.0,3135.0,3185.0,3331.0
209,Florida,Traffic Fatalities,Rural,968.0,873.0,969.0,634.0,859.0,870.0,834.0,803.0,831.0,741.0
210,Florida,Traffic Fatalities,Urban,1420.0,1555.0,1434.0,1860.0,1972.0,2275.0,2282.0,2332.0,2352.0,2265.0
211,Florida,Traffic Fatalities,Unknown,12.0,3.0,0.0,0.0,107.0,31.0,0.0,0.0,2.0,325.0
234,Georgia,Traffic Fatalities,Total (C-1),1226.0,1192.0,1180.0,1164.0,1432.0,1556.0,1540.0,1505.0,1492.0,1664.0
235,Georgia,Traffic Fatalities,Rural,627.0,589.0,557.0,462.0,565.0,603.0,594.0,508.0,520.0,647.0
236,Georgia,Traffic Fatalities,Urban,579.0,603.0,621.0,702.0,867.0,953.0,946.0,997.0,972.0,1014.0
237,Georgia,Traffic Fatalities,Unknown,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
260,Hawaii,Traffic Fatalities,Total (C-1),100.0,125.0,102.0,95.0,93.0,120.0,107.0,117.0,108.0,85.0
261,Hawaii,Traffic Fatalities,Rural,42.0,56.0,40.0,30.0,13.0,25.0,25.0,26.0,21.0,9.0
262,Hawaii,Traffic Fatalities,Urban,58.0,69.0,62.0,65.0,80.0,94.0,82.0,91.0,86.0,76.0
263,Hawaii,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
286,Idaho,Traffic Fatalities,Total (C-1),167.0,184.0,214.0,186.0,216.0,253.0,245.0,234.0,224.0,214.0
287,Idaho,Traffic Fatalities,Rural,136.0,152.0,175.0,151.0,178.0,194.0,183.0,170.0,169.0,167.0
288,Idaho,Traffic Fatalities,Urban,31.0,32.0,39.0,35.0,38.0,47.0,62.0,64.0,54.0,47.0
289,Idaho,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0
312,Illinois,Traffic Fatalities,Total (C-1),918.0,956.0,991.0,924.0,998.0,1078.0,1090.0,1035.0,1009.0,1194.0
313,Illinois,Traffic Fatalities,Rural,398.0,395.0,411.0,417.0,419.0,437.0,399.0,386.0,357.0,355.0
314,Illinois,Traffic Fatalities,Urban,520.0,561.0,580.0,506.0,579.0,639.0,688.0,649.0,646.0,812.0
315,Illinois,Traffic Fatalities,Unknown,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,6.0,27.0
338,Indiana,Traffic Fatalities,Total (C-1),751.0,781.0,784.0,745.0,817.0,829.0,916.0,860.0,810.0,897.0
339,Indiana,Traffic Fatalities,Rural,477.0,524.0,535.0,472.0,521.0,543.0,558.0,525.0,492.0,524.0
340,Indiana,Traffic Fatalities,Urban,274.0,257.0,249.0,273.0,296.0,285.0,356.0,334.0,315.0,373.0
341,Indiana,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0
364,Iowa,Traffic Fatalities,Total (C-1),360.0,365.0,317.0,322.0,320.0,402.0,330.0,319.0,336.0,337.0
365,Iowa,Traffic Fatalities,Rural,300.0,286.0,256.0,255.0,230.0,306.0,254.0,255.0,244.0,239.0
366,Iowa,Traffic Fatalities,Urban,60.0,79.0,61.0,67.0,90.0,96.0,76.0,64.0,92.0,98.0
367,Iowa,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Kansas,Traffic Fatalities,Total (C-1),386.0,405.0,350.0,385.0,355.0,429.0,461.0,405.0,410.0,426.0
391,Kansas,Traffic Fatalities,Rural,314.0,326.0,271.0,298.0,276.0,322.0,313.0,252.0,258.0,262.0
392,Kansas,Traffic Fatalities,Urban,72.0,79.0,79.0,87.0,79.0,105.0,147.0,150.0,151.0,164.0
393,Kansas,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0
416,Kentucky,Traffic Fatalities,Total (C-1),720.0,746.0,638.0,672.0,761.0,834.0,782.0,724.0,732.0,780.0
417,Kentucky,Traffic Fatalities,Rural,559.0,582.0,494.0,517.0,593.0,607.0,510.0,515.0,503.0,501.0
418,Kentucky,Traffic Fatalities,Urban,161.0,164.0,144.0,155.0,168.0,226.0,271.0,208.0,229.0,279.0
419,Kentucky,Traffic Fatalities,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
442,Louisiana,Traffic Fatalities,Total (C-1),680.0,723.0,703.0,740.0,752.0,757.0,770.0,771.0,727.0,828.0
443,Louisiana,Traffic Fatalities,Rural,348.0,345.0,342.0,389.0,368.0,368.0,374.0,305.0,375.0,383.0
